fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.4465409,0.4493671,0,0.1225806,0.1309329,0.1944444,0.1211073,0.9935339,0.8653367,0.275,0.6308725,0.625
0.490566,0.4082278,0,0.1290323,0.1342062,0.1111111,0.0553633,0.9927368,0.8428928,0.295,0.6577181,0.75
0.4213836,0.4272152,0.07,0.1548387,0.1456628,0.2361111,0.283737,0.992139,0.8354115,0.27,0.6778523,0.625
0.4339623,0.4335443,0,0.1612903,0.1718494,0.3055556,0.1280277,0.9929361,0.8628429,0.285,0.7114094,0.75
0.5220126,0.414557,0.12,0.1483871,0.1358429,0.2083333,0.3910035,0.9929361,0.7905237,0.33,0.6577181,0.625
0.4339623,0.3829114,0.12,0.6903226,0.1194763,0.5555556,0.2871972,0.9956261,0.8603491,0.26,0.6308725,0.75
0.327044,0.2025316,0.25,0.116129,0.1685761,0.1805556,0.1730104,0.9920394,0.8428928,0.275,0.6174497,0.625
0.490566,0.4082278,0,0.3548387,0.1407529,0.0694444,0.0622837,0.9949287,0.8478803,0.275,0.6442953,0.75
0.490566,0.3797468,0.14,0.1548387,0.1407529,0.0416667,0.0519031,0.9938328,0.8528678,0.3,0.7248322,0.75
0.509434,0.2405063,0.28,0.1354839,0.1080196,0.1805556,0.1038062,0.9931353,0.8054863,0.365,0.6510067,0.875
0.3584906,0.7151899,0.09,0.0967742,0.2815057,0.0972222,0.0657439,0.9903456,0.872818,0.24,0.6577181,0.5
0.4591195,0.2848101,0.36,0.3806452,0.1211129,0.1666667,0.3010381,0.9941317,0.8304239,0.415,0.704698,0.625
0.4591195,0.2848101,0.36,0.3806452,0.1211129,0.1666667,0.3010381,0.9941317,0.8304239,0.415,0.704698,0.625
0.5534591,0.3860759,0.3,0.1806452,0.1440262,0.2361111,0.1591696,0.9939324,0.8129676,0.255,0.6241611,0.5
0.4716981,0.3101266,0.2,0.1677419,0.5433715,0.1111111,0.0484429,0.9931353,0.8004988,0.45,0.704698,0.75
0.509434,0.4177215,0.22,0.1419355,0.1129296,0.125,0.0795848,0.9931353,0.8229426,0.6,0.6912752,0.625
0.427673,0.4240506,0.02,0.116129,0.0818331,0.0694444,0.0380623,0.9925375,0.8678304,0.26,0.6375839,0.625
0.2893082,0.3291139,0.15,0.1354839,0.0883797,0.1111111,0.2249135,0.9897478,0.9725686,0.28,0.8791946,0.5
0.4842767,0.5917722,0.43,0.1419355,0.1865794,0.3055556,0.3944637,0.9933346,0.8104738,0.365,0.6174497,0.625
0.5471698,0.1835443,0.52,0.1032258,0.1849427,0.1666667,0.1280277,0.993235,0.8104738,0.29,0.6375839,0.625
0.4025157,0.2531646,0.23,0.1032258,0.1080196,0.0694444,0.0415225,0.992139,0.8329177,0.28,0.6174497,0.625
0.3522013,0.1962025,0.37,0.0903226,0.1211129,0.1666667,0.3321799,0.9917405,0.8279302,0.29,0.6174497,0.625
0.5534591,0.4177215,0.26,0.1096774,0.1211129,0.0555556,0.0795848,0.9934342,0.7855362,0.37,0.6174497,0.625
0.4150943,0.3291139,0.04,0.1419355,0.1129296,0.1111111,0.0519031,0.9919397,0.8478803,0.315,0.6308725,0.75
0.4150943,0.3164557,0.04,0.1354839,0.111293,0.0833333,0.0484429,0.9918401,0.8453865,0.32,0.6308725,0.75
0.5408805,0.2405063,0.36,0.1935484,0.1325696,0.4166667,0.4117647,0.9933346,0.798005,0.28,0.6308725,0.625
0.4779874,0.3227848,0.15,0.1806452,0.1800327,0.4583333,0.2525952,0.9918401,0.7905237,0.315,0.6845638,0.75
0.4842767,0.3924051,0.04,0.2451613,0.1374795,0.3472222,0.1557093,0.9941317,0.8329177,0.265,0.6375839,0.625
0.6415094,0.2658228,0.57,0.2193548,0.1145663,0.0555556,0.0346021,0.9934342,0.7581047,0.315,0.6442953,0.625
0.4716981,0.3987342,0.12,0.3290323,0.1816694,0.6944444,0.3806228,0.9946298,0.8129676,0.385,0.6308725,0.625
0.490566,0.3734177,0.18,0.1483871,0.1243863,0.2361111,0.1868512,0.9938328,0.8553616,0.295,0.6711409,0.625
0.4591195,0.2468354,0.31,0.1548387,0.1211129,0.125,0.1591696,0.9925375,0.8503741,0.27,0.6308725,0.75
0.5534591,0.2531646,0.4,0.1419355,0.1292962,0.2638889,0.1799308,0.9943309,0.8578554,0.32,0.6174497,0.625
0.4842767,0.4367089,0.49,0.116129,0.188216,0.2777778,0.3875433,0.9931353,0.8004988,0.355,0.6241611,0.625
0.4716981,0.3291139,0.16,0.1225806,0.1391162,0.1666667,0.1211073,0.9931353,0.8428928,0.31,0.6375839,0.875
0.4402516,0.4651899,0.05,0.1290323,0.1325696,0.1805556,0.1868512,0.9929361,0.8453865,0.285,0.6577181,0.625
0.4528302,0.4588608,0.05,0.3,0.1407529,0.0555556,0.0380623,0.9925375,0.8503741,0.195,0.7315436,0.625
0.4528302,0.4588608,0.05,0.3,0.1407529,0.0555556,0.0380623,0.9925375,0.8503741,0.195,0.7315436,0.625
0.4716981,0.3291139,0.11,0.0967742,0.1292962,0.1527778,0.1349481,0.9931353,0.8528678,0.29,0.6442953,0.625
0.4150943,0.4462025,0.07,0.1032258,0.1243863,0.0833333,0.0519031,0.9925375,0.8578554,0.29,0.7181208,0.625
0.5849057,0.2025316,0.57,0.1290323,0.1211129,0.375,0.2249135,0.993235,0.8179551,0.395,0.7181208,0.625
0.5031447,0.4462025,0.05,0.1225806,0.1211129,0.1111111,0.0657439,0.9925375,0.8329177,0.475,0.704698,0.75
0.4842767,0.3987342,0.08,0.1225806,0.1243863,0.2083333,0.0934256,0.9930357,0.8279302,0.27,0.6375839,0.75
0.4842767,0.4240506,0.23,0.1354839,0.1440262,0.2361111,0.3321799,0.9925375,0.8279302,0.24,0.6375839,0.625
0.4842767,0.4367089,0.22,0.1225806,0.1374795,0.25,0.3252595,0.9924379,0.8254364,0.24,0.6375839,0.625
0.5220126,0.4272152,0.26,0.1354839,0.1374795,0.1527778,0.1487889,0.9939324,0.8254364,0.265,0.6174497,0.5
0.6100629,0.2025316,0.54,0.1612903,0.1538462,0.3888889,0.2871972,0.9947294,0.8179551,0.41,0.6442953,0.625
0.5534591,0.2594937,0.64,0.1419355,0.1522095,0.125,0.1453287,0.9949287,0.882793,0.33,0.704698,0.625
0.5534591,0.2594937,0.64,0.1419355,0.1522095,0.125,0.1453287,0.9949287,0.882793,0.33,0.704698,0.625
0.427673,0.4968354,0,0.1548387,0.1702128,0.1944444,0.1038062,0.9929361,0.8778055,0.275,0.7181208,0.75
0.4213836,0.4746835,0.12,0.1290323,0.1407529,0.1666667,0.2768166,0.992139,0.8428928,0.26,0.6778523,0.625
0.5220126,0.3955696,0.2,0.0967742,0.1309329,0.375,0.4117647,0.9935339,0.7880299,0.56,0.6107383,0.5
0.3899371,0.2848101,0.2,0.1032258,0.1129296,0.0416667,0.0519031,0.992139,0.8503741,0.28,0.6174497,0.625
0.490566,0.2721519,0.7,0.1225806,0.7594108,0.3055556,0.2318339,0.9937331,0.7805486,0.64,0.6308725,0.625
0.4654088,0.3164557,0.47,0.1290323,0.1407529,0.2916667,0.2525952,0.9933346,0.8379052,0.285,0.6107383,0.625
0.4591195,0.4240506,0.26,0.116129,0.6563011,0.2222222,0.1764706,0.993235,0.7880299,0.57,0.6308725,0.625
0.3962264,0.1898734,0.48,0.116129,0.1129296,0.25,0.2110727,0.9922386,0.8578554,0.39,0.6912752,0.75
0.4339623,0.3481013,0.15,0.1419355,0.1243863,0.2638889,0.1384083,0.9924379,0.8503741,0.295,0.6778523,0.625
0.5408805,0.3101266,0.28,0.1225806,0.1800327,0.2777778,0.4705882,0.9935339,0.7306733,0.975,0.6644295,0.75
0.4842767,0.3101266,0.26,0.1225806,0.101473,0.125,0.1072664,0.9929361,0.8453865,0.32,0.6442953,0.625
0.5849057,0.2468354,0.44,0.1354839,0.1751227,0.4722222,0.432526,0.9941317,0.7830424,0.61,0.6375839,0.625
0.4402516,0.3924051,0.08,0.116129,0.1243863,0.1111111,0.083045,0.9941317,0.8678304,0.265,0.6040268,0.625
0.4968553,0.3291139,0.26,0.1225806,0.1292962,0.5833333,0.4844291,0.9927368,0.8054863,0.27,0.6375839,0.625
0.5408805,0.3101266,0.28,0.1225806,0.1800327,0.2777778,0.4705882,0.9935339,0.7306733,0.975,0.6644295,0.75
0.5408805,0.3101266,0.29,0.1290323,0.1800327,0.2638889,0.4602076,0.9935339,0.7306733,0.99,0.6577181,0.625
0.4842767,0.3101266,0.26,0.1225806,0.101473,0.125,0.1072664,0.9929361,0.8453865,0.32,0.6442953,0.625
0.3144654,0.6455696,0.04,0.0903226,0.0736498,0.5694444,0.2941176,0.9901464,0.9351621,0.24,0.704698,0.5
0.2955975,0.3797468,0.17,0.1483871,0.0949264,0.2361111,0.366782,0.9895486,0.9600998,0.3,0.8657718,0.75
0.427673,0.4905063,0,0.1935484,0.1669394,0.1111111,0.0795848,0.9928364,0.8603491,0.28,0.7181208,0.625
0.4402516,0.3164557,0.25,0.1290323,0.1145663,0.0416667,0.0761246,0.9926372,0.8104738,0.315,0.6174497,0.625
0.4779874,0.5696203,0.06,0.1612903,0.1292962,0.0694444,0.0346021,0.9930357,0.8453865,0.28,0.6577181,0.625
0.509434,0.3449367,0.18,0.1225806,0.1309329,0.1805556,0.1211073,0.9935339,0.8229426,0.295,0.6040268,0.75
0.5220126,0.3860759,0.3,0.1354839,0.1374795,0.1527778,0.1730104,0.9935339,0.8478803,0.305,0.6845638,0.75
0.490566,0.3164557,0.3,0.1225806,0.1227496,0.1111111,0.0761246,0.9922386,0.8254364,0.28,0.6979866,0.75
0.509434,0.3449367,0.18,0.1225806,0.1309329,0.1805556,0.1211073,0.9935339,0.8229426,0.295,0.6040268,0.75
0.509434,0.3639241,0.22,0.1354839,0.1260229,0.1666667,0.2249135,0.9930357,0.8204489,0.255,0.6174497,0.625
0.4528302,0.3101266,0.24,0.1419355,0.1145663,0.0694444,0.1245675,0.9923383,0.8304239,0.24,0.6308725,0.625
0.509434,0.3639241,0.22,0.1354839,0.1260229,0.1666667,0.2249135,0.9930357,0.8204489,0.255,0.6174497,0.625
0.490566,0.2594937,0.68,0.1096774,0.7643208,0.25,0.2387543,0.9936335,0.7680798,0.655,0.6241611,0.625
0.3899371,0.3987342,0.31,0.1096774,0.1440262,0.2083333,0.2214533,0.993235,0.8628429,0.395,0.6241611,0.625
0.5031447,0.2088608,0.53,0.1612903,0.1489362,0.25,0.2768166,0.9939324,0.840399,0.4,0.6442953,0.75
0.509434,0.4968354,0.52,0.1290323,0.1996727,0.5138889,0.5294118,0.993235,0.8004988,0.345,0.6241611,0.625
0.490566,0.3544304,0.19,0.116129,0.1702128,0.1666667,0.1626298,0.9927368,0.7955112,0.465,0.6375839,0.625
0.5283019,0.3924051,0.09,0.1419355,0.1374795,0.1527778,0.3737024,0.9927368,0.7855362,0.33,0.6577181,0.625
0.5283019,0.3797468,0.1,0.1419355,0.1391162,0.1944444,0.384083,0.9927368,0.7855362,0.33,0.6577181,0.625
0.6352201,0.1962025,0.44,0.1483871,0.1309329,0.3055556,0.1591696,0.995128,0.8279302,0.335,0.6510067,0.75
0.490566,0.3544304,0.19,0.116129,0.1702128,0.1666667,0.1626298,0.9927368,0.7955112,0.465,0.6375839,0.625
0.591195,0.2531646,0.31,0.1419355,0.1472995,0.1805556,0.2145329,0.9929361,0.765586,0.315,0.704698,0.75
0.5220126,0.3417722,0.28,0.1225806,0.1260229,0.1527778,0.1384083,0.9941317,0.8453865,0.305,0.6711409,0.75
0.490566,0.3544304,0.12,0.1290323,0.1342062,0.0972222,0.0968858,0.9933346,0.840399,0.25,0.6308725,0.75
0.5534591,0.3481013,0.04,0.1419355,0.1947627,0.1944444,0.1937716,0.9925375,0.8004988,0.3,0.7315436,0.75
0.4402516,0.4367089,0.08,0.116129,0.1587561,0.3055556,0.3079585,0.9922386,0.8329177,0.27,0.6174497,0.75
0.4591195,0.6772152,0.09,0.1096774,0.2913257,0.1388889,0.3079585,0.9925375,0.8229426,0.285,0.6040268,0.625
0.5534591,0.3481013,0.04,0.1419355,0.1947627,0.1944444,0.1937716,0.9925375,0.8004988,0.3,0.7315436,0.75
0.4591195,0.4398734,0,0.1612903,0.1227496,0.0416667,0.0449827,0.9943309,0.8703242,0.26,0.6174497,0.625
0.5031447,0.4493671,0,0.1677419,0.1309329,0.1527778,0.1176471,0.9939324,0.8578554,0.265,0.6375839,0.625
0.490566,0.3164557,0.17,0.1032258,0.1342062,0.2916667,0.3529412,0.9923383,0.8453865,0.24,0.6375839,0.625
0.5660377,0.3924051,0.04,0.1225806,0.2389525,0.375,0.3114187,0.9947294,0.7880299,0.35,0.6308725,0.625
0.5157233,0.8417722,0,0.1096774,0.1325696,0.0416667,0.0415225,0.9927368,0.8802993,0.245,0.7315436,0.625
0.509434,0.8417722,0,0.116129,0.1342062,0.0416667,0.0415225,0.9927368,0.882793,0.24,0.7315436,0.625
0.5031447,0.3734177,0.16,0.116129,0.106383,0.0416667,0.0553633,0.9925375,0.8528678,0.46,0.704698,0.875
0.3836478,0.2405063,0.15,0.116129,0.1178396,0.0833333,0.0657439,0.9918401,0.8528678,0.285,0.6308725,0.625
0.5031447,0.471519,0.56,0.1290323,0.193126,0.4166667,0.4636678,0.9931353,0.80798,0.33,0.6308725,0.625
0.3522013,0.3164557,0.09,0.1483871,0.0801964,0.2361111,0.3425606,0.9900467,0.9052369,0.315,0.8724832,0.625
0.3522013,0.3164557,0.09,0.1483871,0.0801964,0.2361111,0.3425606,0.9900467,0.9052369,0.315,0.8724832,0.625
0.4150943,0.3164557,0.01,0.0967742,0.0981997,0.2361111,0.0899654,0.9915412,0.8478803,0.29,0.6577181,0.75
0.4968553,0.6582278,0.05,0.1419355,0.1374795,0.1805556,0.100346,0.9922386,0.8029925,0.275,0.6644295,0.75
0.5283019,0.471519,0.11,0.1225806,0.1472995,0.2222222,0.2179931,0.9928364,0.7955112,0.41,0.6442953,0.625
0.5220126,0.4525316,0.15,0.116129,0.1456628,0.1388889,0.1799308,0.9931353,0.8054863,0.385,0.6375839,0.625
0.4528302,0.2626582,0.36,0.1290323,0.1325696,0.1805556,0.1557093,0.9935339,0.8678304,0.32,0.6174497,0.625
0.490566,0.3544304,0.19,0.1354839,0.1325696,0.2083333,0.3633218,0.9925375,0.8304239,0.27,0.6375839,0.625
0.490566,0.3544304,0.19,0.1290323,0.1325696,0.2361111,0.3737024,0.9925375,0.8279302,0.27,0.6375839,0.625
0.5283019,0.471519,0.11,0.1225806,0.1472995,0.2222222,0.2179931,0.9928364,0.7955112,0.41,0.6442953,0.625
0.5220126,0.4525316,0.15,0.116129,0.1456628,0.1388889,0.1799308,0.9931353,0.8054863,0.385,0.6375839,0.625
0.327044,0.2151899,0,0.116129,0.0818331,0.375,0.2179931,0.9879544,0.9177057,0.395,0.9395973,0.75
0.3962264,0.2468354,0.08,0.1096774,0.1080196,0.0416667,0.0692042,0.9917405,0.8329177,0.29,0.6308725,0.625
0.327044,0.2151899,0,0.116129,0.0818331,0.375,0.2179931,0.9879544,0.9177057,0.395,0.9395973,0.75
0.509434,0.4240506,0.55,0.116129,0.1914894,0.4444444,0.4878893,0.9931353,0.7905237,0.31,0.6308725,0.625
0.3647799,0.4303797,0.02,0.116129,0.1423895,0.2916667,0.3252595,0.9907442,0.882793,0.26,0.6711409,0.625
0.4779874,0.3101266,0.26,0.1032258,0.386252,0.1388889,0.3044983,0.9931353,0.7755611,0.4,0.6241611,0.625
0.4339623,0.3101266,0.1,0.1483871,0.1211129,0.1666667,0.1038062,0.9922386,0.8528678,0.29,0.6845638,0.75
0.5157233,0.2531646,0.44,0.1806452,0.1456628,0.1527778,0.1487889,0.9938328,0.8802993,0.305,0.704698,0.75
0.4591195,0.2088608,0.47,0.1354839,0.1260229,0.0694444,0.0380623,0.992139,0.8304239,0.265,0.6912752,0.75
0.5786164,0.3291139,1,0.2193548,0.9983633,0.4444444,0.2387543,0.995925,0.6832918,1,0.6308725,0.5
0.4716981,0.3797468,0.03,0.116129,0.1554828,0.3472222,0.3425606,0.9913419,0.8354115,0.27,0.6778523,0.625
0.4716981,0.3797468,0.03,0.116129,0.1554828,0.3472222,0.3425606,0.9913419,0.8354115,0.27,0.6778523,0.625
0.4465409,0.2721519,0.42,0.3548387,0.1145663,0.4027778,0.4463668,0.9936335,0.8528678,0.36,0.704698,0.625
0.4465409,0.2721519,0.42,0.3548387,0.1162029,0.3888889,0.4429066,0.9936335,0.8528678,0.355,0.704698,0.625
0.4465409,0.2721519,0.42,0.3548387,0.1145663,0.4027778,0.4463668,0.9936335,0.8528678,0.36,0.704698,0.625
0.4465409,0.2721519,0.42,0.3548387,0.1162029,0.3888889,0.4429066,0.9936335,0.8528678,0.355,0.704698,0.625
0.4465409,0.4303797,0,0.1419355,0.1194763,0.1666667,0.0761246,0.993235,0.8678304,0.25,0.6241611,0.625
0.427673,0.3797468,0.18,0.1225806,0.1292962,0.25,0.2975779,0.9931353,0.8952618,0.285,0.6241611,0.75
0.4779874,0.6012658,0.03,0.1290323,0.1472995,0.0972222,0.0692042,0.9922386,0.798005,0.28,0.6442953,0.625
0.4779874,0.4303797,0.02,0.083871,0.1178396,0.125,0.0692042,0.9928364,0.7905237,0.54,0.6174497,0.5
0.490566,0.335443,0.04,0.1096774,0.1243863,0.2361111,0.1072664,0.9927368,0.8304239,0.28,0.6711409,0.75
0.4654088,0.3797468,0.26,0.4709677,0.1145663,0.5,0.4186851,0.9945302,0.840399,0.245,0.6308725,0.625
0.4591195,0.3734177,0.26,0.4645161,0.1145663,0.4861111,0.4186851,0.9944306,0.840399,0.245,0.6308725,0.625
0.490566,0.3987342,0.48,0.1096774,0.1636661,0.1944444,0.3321799,0.9924379,0.7955112,0.31,0.6375839,0.625
0.427673,0.4050633,0.1,0.1354839,0.1391162,0.25,0.349481,0.9919397,0.8329177,0.26,0.6845638,0.625
0.4591195,0.3481013,0.03,0.1032258,0.1178396,0.2361111,0.1453287,0.9919397,0.840399,0.24,0.6040268,0.5
0.427673,0.3987342,0.07,0.1354839,0.1456628,0.1527778,0.1522491,0.9916408,0.8653367,0.275,0.6979866,0.75
0.4716981,0.4462025,0.24,0.116129,0.589198,0.2083333,0.2179931,0.9927368,0.7481297,0.795,0.6375839,0.625
0.4968553,0.5601266,0.03,0.116129,0.0949264,0.0555556,0.0276817,0.9935339,0.8379052,0.165,0.6107383,0.5
0.5031447,0.2658228,0.17,0.1290323,0.1194763,0.0833333,0.0622837,0.9935339,0.8204489,0.305,0.6174497,0.75
0.5031447,0.2658228,0.17,0.1290323,0.1194763,0.0833333,0.0622837,0.9935339,0.8204489,0.305,0.6174497,0.75
0.4654088,0.3924051,0.05,0.1225806,0.111293,0.3333333,0.1453287,0.9924379,0.8528678,0.285,0.7718121,0.75
0.4591195,0.2405063,0.21,0.1290323,0.1309329,0.0972222,0.1211073,0.9924379,0.8304239,0.235,0.6375839,0.625
0.4339623,0.3164557,0.04,0.0967742,0.1391162,0.2638889,0.1695502,0.992139,0.8354115,0.39,0.6375839,0.625
0.4591195,0.2405063,0.21,0.1290323,0.1309329,0.0972222,0.1211073,0.9924379,0.8304239,0.235,0.6375839,0.625
0.4716981,0.3291139,0.42,0.1483871,0.1423895,0.1111111,0.1314879,0.9935339,0.8927681,0.305,0.704698,0.75
0.4402516,0.5094937,0,0.1612903,0.111293,0.0972222,0.0692042,0.993235,0.8678304,0.28,0.6442953,0.625
0.5534591,0.3860759,0.14,0.1548387,0.1096563,0.1388889,0.1453287,0.993235,0.7955112,0.295,0.6375839,0.625
0.5534591,0.3860759,0.14,0.1548387,0.1096563,0.1388889,0.1453287,0.993235,0.7955112,0.295,0.6375839,0.625
0.5597484,0.3860759,0.49,0.1290323,0.4418985,0.3194444,0.3806228,0.9935339,0.7780549,0.51,0.6241611,0.625
0.4528302,0.4620253,0.02,0.1612903,0.1243863,0.2222222,0.1453287,0.9935339,0.8578554,0.26,0.6241611,0.625
0.427673,0.3860759,0.2,0.116129,0.1260229,0.1527778,0.2249135,0.9934342,0.882793,0.29,0.6241611,0.625
0.4213836,0.3924051,0.21,0.1225806,0.1292962,0.1111111,0.2145329,0.9933346,0.8778055,0.29,0.6241611,0.75
0.5597484,0.1962025,0.57,0.1290323,0.1816694,0.3611111,0.2941176,0.9934342,0.8129676,0.265,0.6510067,0.625
0.4654088,0.2468354,0.48,0.1290323,0.1342062,0.1944444,0.2318339,0.9935339,0.8329177,0.275,0.6174497,0.625
0.4842767,0.4462025,0.1,0.1677419,0.1374795,0.125,0.0899654,0.9939324,0.8453865,0.245,0.6510067,0.625
0.4968553,0.3164557,0.33,0.1290323,0.1374795,0.2083333,0.4948097,0.9931353,0.798005,0.275,0.6375839,0.625
0.4968553,0.3101266,0.32,0.1225806,0.1342062,0.2361111,0.4982699,0.9931353,0.798005,0.275,0.6375839,0.625
0.5157233,0.3164557,0.35,0.1870968,0.1260229,0.2916667,0.4394464,0.9939324,0.8054863,0.31,0.6308725,0.625
0.4025157,0.2341772,0.25,0.1225806,0.1211129,0.2916667,0.1695502,0.9937331,0.8902743,0.31,0.6577181,0.75
0.427673,0.3987342,0.12,0.2451613,0.1620295,0.2222222,0.4359862,0.993235,0.8179551,0.305,0.6375839,0.625
0.4779874,0.3481013,0.21,0.1419355,0.1162029,0.0972222,0.0968858,0.9927368,0.8179551,0.275,0.6510067,0.625
0.4779874,0.3481013,0.21,0.1419355,0.1162029,0.0972222,0.0968858,0.9927368,0.8179551,0.275,0.6510067,0.625
0.490566,0.3734177,0.33,0.1290323,0.1211129,0.3333333,0.4152249,0.9931353,0.8104738,0.27,0.6308725,0.625
0.4591195,0.3670886,0.3,0.1548387,0.1211129,0.2083333,0.1903114,0.9931353,0.8628429,0.295,0.6845638,0.625
0.7232704,0.1898734,0.6,0.1290323,0.1096563,0.1666667,0.0934256,0.9944306,0.7755611,0.485,0.6778523,0.75
0.3396226,0.528481,0.08,0.0774194,0.0752864,0.1805556,0.3217993,0.9887515,0.8902743,0.425,0.8724832,0.875
0.4339623,0.6898734,0.06,0.1354839,0.0998363,0.1666667,0.1072664,0.9911427,0.8753117,0.215,0.7651007,0.5
0.6037736,0.2025316,0.47,0.0903226,0.091653,0.125,0.083045,0.9932848,0.8029925,0.41,0.6912752,0.875
0.5534591,0.2341772,0.48,0.1354839,0.1587561,0.5416667,0.5017301,0.9938328,0.7581047,0.515,0.6241611,0.625
0.427673,0.3164557,0.11,0.0967742,0.1227496,0.2222222,0.1695502,0.9917903,0.8379052,0.395,0.6375839,0.625
0.4402516,0.2658228,0.35,0.1032258,0.1440262,0.2222222,0.1349481,0.9924379,0.8329177,0.275,0.6174497,0.625
0.4402516,0.2721519,0.36,0.1032258,0.1456628,0.1944444,0.1280277,0.9924877,0.8329177,0.28,0.6174497,0.75
0.8050314,0.1898734,0.74,0.1677419,0.1554828,0.125,0.0968858,0.9957258,0.798005,0.385,0.7248322,0.875
0.8050314,0.1898734,0.74,0.1677419,0.1554828,0.125,0.0968858,0.9957258,0.798005,0.385,0.7248322,0.875
0.490566,0.3607595,0.31,0.116129,0.1129296,0.3611111,0.4152249,0.9925874,0.8204489,0.265,0.6241611,0.625
0.490566,0.278481,0.28,0.1741935,0.1636661,0.25,0.3287197,0.9929361,0.8029925,0.335,0.6308725,0.625
0.6918239,0.1898734,0.58,0.1354839,0.0883797,0.0972222,0.0657439,0.9943309,0.8254364,0.44,0.704698,0.875
0.6100629,0.335443,0.6,0.1290323,0.0638298,0.0694444,0.0657439,0.9921888,0.8229426,0.43,0.8322148,0.75
0.5031447,0.4588608,0.24,0.1806452,0.1358429,0.1388889,0.2145329,0.9931851,0.8354115,0.28,0.6711409,0.75
0.7295597,0.278481,0.64,0.1354839,0.096563,0.0694444,0.0519031,0.9943309,0.8004988,0.335,0.6845638,0.75
0.5157233,0.3607595,0.26,0.1419355,0.0981997,0.3888889,0.2249135,0.9922386,0.8229426,0.215,0.6778523,0.625
